x    bits                                                sight  spec  closed_form
110  SCARCE+LITERAL+FAILONLY+TOUCHED+SMALL              0      0     0
111  FRAMED+SCARCE+LITERAL+FAILONLY+TOUCHED+SMALL       0      0     0
112  NAMED+TOUCHED+SMALL                                3      3     3
113  FRAMED+NAMED+TOUCHED+SMALL                         0      0     0
114  SCARCE+NAMED+TOUCHED+SMALL                         0      0     0
115  FRAMED+SCARCE+NAMED+TOUCHED+SMALL                  0      0     0
116  LITERAL+NAMED+TOUCHED+SMALL                        0      0     0
117  FRAMED+LITERAL+NAMED+TOUCHED+SMALL                 0      0     0
118  SCARCE+LITERAL+NAMED+TOUCHED+SMALL                 0      0     0
119  FRAMED+SCARCE+LITERAL+NAMED+TOUCHED+SMALL          0      0     0
120  FAILONLY+NAMED+TOUCHED+SMALL                       2      2     2
121  FRAMED+FAILONLY+NAMED+TOUCHED+SMALL                0      0     0
122  SCARCE+FAILONLY+NAMED+TOUCHED+SMALL                0      0     0
123  FRAMED+SCARCE+FAILONLY+NAMED+TOUCHED+SMALL         0      0     0
124  LITERAL+FAILONLY+NAMED+TOUCHED+SMALL               0      0     0
125  FRAMED+LITERAL+FAILONLY+NAMED+TOUCHED+SMALL        0      0     0
126  SCARCE+LITERAL+FAILONLY+NAMED+TOUCHED+SMALL        0      0     0
127  FRAMED+SCARCE+LITERAL+FAILONLY+NAMED+TOUCHED+SMALL 0      0     0
128  UBIQUITOUS                                         7      7     7
129  FRAMED+UBIQUITOUS                                  0      0     0
130  SCARCE+UBIQUITOUS                                  0      0     0
131  FRAMED+SCARCE+UBIQUITOUS                           0      0     0
132  LITERAL+UBIQUITOUS                                 0      0     0
133  FRAMED+LITERAL+UBIQUITOUS                          0      0     0
134  SCARCE+LITERAL+UBIQUITOUS                          0      0     0
135  FRAMED+SCARCE+LITERAL+UBIQUITOUS                   0      0     0
136  FAILONLY+UBIQUITOUS                                3      3     3
137  FRAMED+FAILONLY+UBIQUITOUS                         0      0     0
138  SCARCE+FAILONLY+UBIQUITOUS                         0      0     0
139  FRAMED+SCARCE+FAILONLY+UBIQUITOUS                  0      0     0
140  LITERAL+FAILONLY+UBIQUITOUS                        0      0     0
141  FRAMED+LITERAL+FAILONLY+UBIQUITOUS                 0      0     0
142  SCARCE+LITERAL+FAILONLY+UBIQUITOUS                 0      0     0
143  FRAMED+SCARCE+LITERAL+FAILONLY+UBIQUITOUS          0      0     0
144  NAMED+UBIQUITOUS                                   4      4     4
145  FRAMED+NAMED+UBIQUITOUS                            0      0     0
146  SCARCE+NAMED+UBIQUITOUS                            0      0     0
147  FRAMED+SCARCE+NAMED+UBIQUITOUS                     0      0     0
148  LITERAL+NAMED+UBIQUITOUS                           0      0     0
149  FRAMED+LITERAL+NAMED+UBIQUITOUS                    0      0     0
150  SCARCE+LITERAL+NAMED+UBIQUITOUS                    0      0     0
151  FRAMED+SCARCE+LITERAL+NAMED+UBIQUITOUS             0      0     0
152  FAILONLY+NAMED+UBIQUITOUS                          3      3     3
153  FRAMED+FAILONLY+NAMED+UBIQUITOUS                   0      0     0
154  SCARCE+FAILONLY+NAMED+UBIQUITOUS                   0      0     0
155  FRAMED+SCARCE+FAILONLY+NAMED+UBIQUITOUS            0      0     0
156  LITERAL+FAILONLY+NAMED+UBIQUITOUS                  0      0     0
157  FRAMED+LITERAL+FAILONLY+NAMED+UBIQUITOUS           0      0     0
158  SCARCE+LITERAL+FAILONLY+NAMED+UBIQUITOUS           0      0     0
159  FRAMED+SCARCE+LITERAL+FAILONLY+NAMED+UBIQUITOUS    0      0     0
160  TOUCHED+UBIQUITOUS                                 5      5     5
161  FRAMED+TOUCHED+UBIQUITOUS                          0      0     0
162  SCARCE+TOUCHED+UBIQUITOUS                          0      0     0
163  FRAMED+SCARCE+TOUCHED+UBIQUITOUS                   0      0     0
164  LITERAL+TOUCHED+UBIQUITOUS                         0      0     0
165  FRAMED+LITERAL+TOUCHED+UBIQUITOUS                  0      0     0
166  SCARCE+LITERAL+TOUCHED+UBIQUITOUS                  0      0     0
167  FRAMED+SCARCE+LITERAL+TOUCHED+UBIQUITOUS           0      0     0
168  FAILONLY+TOUCHED+UBIQUITOUS                        3      3     3
169  FRAMED+FAILONLY+TOUCHED+UBIQUITOUS                 0      0     0
170  SCARCE+FAILONLY+TOUCHED+UBIQUITOUS                 0      0     0
171  FRAMED+SCARCE+FAILONLY+TOUCHED+UBIQUITOUS          0      0     0
172  LITERAL+FAILONLY+TOUCHED+UBIQUITOUS                0      0     0
